timestamp,turbineId,line,power,windSpeed,dailyGeneration,state
2026-06-08T05:26:17.847Z,WT-001,L1,1.68,14.28,0.0140,运行
2026-06-08T05:26:17.847Z,WT-002,L1,1.35,6.33,0.0113,运行
2026-06-08T05:26:17.847Z,WT-003,L1,1.62,10.76,0.0135,运行
2026-06-08T05:26:17.847Z,WT-004,L1,1.62,10.60,0.0135,运行
2026-06-08T05:26:17.847Z,WT-005,L1,1.56,11.02,0.0130,运行
2026-06-08T05:26:17.847Z,WT-006,L1,1.69,12.72,0.0141,运行
2026-06-08T05:26:17.847Z,WT-007,L2,1.35,6.54,0.0113,运行
2026-06-08T05:26:17.847Z,WT-008,L2,1.41,6.51,0.0118,运行
2026-06-08T05:26:17.847Z,WT-009,L2,1.63,11.69,0.0136,运行
2026-06-08T05:26:17.847Z,WT-010,L2,1.73,14.94,0.0144,运行
2026-06-08T05:26:17.847Z,WT-011,L2,1.56,9.46,0.0130,运行
2026-06-08T05:26:17.847Z,WT-012,L2,1.67,11.98,0.0139,运行
2026-06-08T05:26:17.847Z,WT-013,L3,1.71,13.91,0.0142,运行
2026-06-08T05:26:17.847Z,WT-014,L3,1.36,4.24,0.0113,运行
2026-06-08T05:26:17.847Z,WT-015,L3,1.73,12.63,0.0144,运行
2026-06-08T05:26:17.847Z,WT-016,L3,1.63,11.77,0.0136,运行
2026-06-08T05:26:17.847Z,WT-017,L3,1.63,13.04,0.0136,运行
2026-06-08T05:26:17.847Z,WT-018,L3,1.70,11.84,0.0142,运行
2026-06-08T05:26:17.847Z,WT-019,L4,1.64,11.12,0.0137,运行
2026-06-08T05:26:17.847Z,WT-020,L4,1.49,9.97,0.0124,运行
2026-06-08T05:26:17.847Z,WT-021,L4,1.64,11.36,0.0137,运行
2026-06-08T05:26:17.847Z,WT-022,L4,1.59,11.84,0.0132,运行
2026-06-08T05:26:17.847Z,WT-023,L4,1.41,6.38,0.0118,运行
2026-06-08T05:26:17.847Z,WT-024,L4,1.54,8.16,0.0128,运行
